,color,command,deleted,from,message,room,timestamp,video-offset,badges,bits,color,display-name,emotes,id,login,mod,msg-id,msg-param-months,room-id,sent-ts,style,subscriber,system-msg,tmi-sent-ts,turbo,user-id,user-type
0,#2612BA,,False,jtsnow77,PogChamp,clintstevens,1492400397504,504,"subscriber/12,turbo/1",,#2612BA,jtsnow77,"{'88': [[0, 7]]}",8d044c7a-acfa-4f94-ba10-68fc7d176c6c,,False,,,86268118,1492400411842,,True,,1492400411953,True,109086033,
1,#008000,,False,posionpancake,PogChamp,clintstevens,1492400397903,903,,,#008000,PosionPancake,"{'88': [[0, 7]]}",635d52d5-a691-4ed2-af75-bd0545714e39,,False,,,86268118,1492400412528,,False,,1492400412324,False,57027344,
2,#DAA520,,False,thirteenjhm13,PogChamp,clintstevens,1492400397909,909,subscriber/3,,#DAA520,ThirteenJhm13,"{'88': [[0, 7]]}",5bfd6417-444f-4c32-8fc2-619daa82d571,,False,,,86268118,1492400410729,,True,,1492400412358,False,35950973,
3,#8A2BE2,,False,greedisgo0d,HeyGuys,clintstevens,1492400400077,3077,,,#8A2BE2,GREEDISGO0D,"{'30259': [[0, 6]]}",e30f7c72-5f84-4988-889f-e1a98a831025,,False,,,86268118,1492400411647,,False,,1492400414521,False,131137126,
4,,,False,wondl,WOOOOO,clintstevens,1492400400204,3204,bits/100,,,wondl,,52b14541-276c-4605-af8c-2bf65a436e2b,,False,,,86268118,1492400414468,,False,,1492400414643,False,143565518,
5,#CD9FFE,,False,springysheep,HI CLINT,clintstevens,1492400400918,3918,bits/1000,,#CD9FFE,springysheep,,d89433ce-d96b-4115-8b94-7edc82ccd9e3,,False,,,86268118,1492400415116,,False,,1492400415321,False,111283120,
6,#1E90FF,,False,alphador_,PogChamp,clintstevens,1492400401903,4903,premium/1,,#1E90FF,alphador_,"{'88': [[0, 7]]}",4f345fd7-6ef8-4ca2-8421-4adf37ecd55f,,False,,,86268118,1492400415040,,False,,1492400416367,False,139757133,
7,#E6C300,,False,chuckthegypsy,hi clint,clintstevens,1492400402355,5355,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,,bb778af3-2b78-4f70-8b64-7388784e96b6,,False,,,86268118,1492400415157,,True,,1492400416795,False,27862377,
8,#FF0000,,False,not_a_speedrunner,yee,clintstevens,1492400404154,7154,,,#FF0000,not_a_speedrunner,,756b9d25-9b5d-4a4b-9e0d-64baf600b063,,False,,,86268118,1492400418015,,False,,1492400418611,False,94120565,
9,#725E4B,,False,laboonm,hes alive,clintstevens,1492400404822,7822,subscriber/6,,#725E4B,laboonm,,5bd2f48c-744a-43d5-8cc8-519aa12683a9,,False,,,86268118,1492400399572,,True,,1492400419259,False,76465212,
10,#7A00CC,,False,scuffedruns,PogChamp WE IN IT PogChamp,clintstevens,1492400405202,8202,"subscriber/3,bits/1000",,#7A00CC,ScuffedRuns,"{'88': [[0, 7], [18, 25]]}",bb8bd85d-af3a-41d8-b598-886f64aa97c5,,False,,,86268118,1492400420664,,True,,1492400419658,False,56544921,
11,#5F9EA0,,False,shirazrl,PogChamp,clintstevens,1492400405522,8522,,,#5F9EA0,ShirazRL,"{'88': [[0, 7]]}",19d00e14-6db8-4bab-bf75-fc8c45676de9,,False,,,86268118,1492400419991,,False,,1492400419986,False,67468924,
12,,,False,madolcheanjelly,dad,clintstevens,1492400405566,8566,,,,MadolcheAnjelly,,f0517050-1024-44da-b5b8-14a37c980da8,,False,,,86268118,1492400420449,,False,,1492400420003,False,79057669,
13,#0000FF,,False,thanatoast01,hey clint,clintstevens,1492400407217,10217,bits/100,,#0000FF,thanatoast01,,b11029fc-f9fd-45ce-bc28-d22084a62fee,,False,,,86268118,1492400421968,,False,,1492400421676,False,126732184,
14,#E6C300,,False,chuckthegypsy,"@ClintStevens, hey wanna play OW?",clintstevens,1492400407277,10277,"subscriber/12,premium/1",,#E6C300,ChuckTheGypsy,,f073e581-f7e9-4287-aded-ee0bdc16d31a,,False,,,86268118,1492400420206,,True,,1492400421738,False,27862377,
15,#FF7B00,,False,chiz001,Clinty-winty-woo danAww,clintstevens,1492400407703,10703,premium/1,,#FF7B00,CHIZ001,"{'144687': [[17, 22]]}",ceea0b98-cfbd-4a57-b884-bf47ea541431,,False,,,86268118,1492400422080,,False,,1492400422124,False,47529299,
16,#008000,,False,glaukopes,Kappa /,clintstevens,1492400408551,11551,,,#008000,glaukopes,"{'25': [[0, 4]]}",d35dac3e-406d-47a8-a772-6dbf7ea4d15a,,False,,,86268118,1492400422418,,False,,1492400422956,False,104820006,
17,,,False,quikheet,woooooooooooo,clintstevens,1492400408764,11764,,,,quikheet,,09846cd5-4b24-4a13-90ef-dc384bef96c5,,False,,,86268118,1492487020195,,False,,1492400423207,False,149667282,
18,#666666,,False,dima110,is psn down for anyone else?,clintstevens,1492400409333,12333,bits/1000,,#666666,Dima110,,dab08ee7-1eb3-45a6-90f5-c5e114794a2b,,False,,,86268118,1492400423687,,False,,1492400423783,False,29503089,
19,#2612BA,,False,jtsnow77,hey @ClintStevens clintYo,clintstevens,1492400409979,12979,"subscriber/12,turbo/1",,#2612BA,jtsnow77,"{'146956': [[18, 24]]}",e820c59e-e7b3-488b-93b9-b11dc1c40a1d,,False,,,86268118,1492400424369,,True,,1492400424440,True,109086033,
20,#00CCC5,,False,recklessrelapse,PogChamp,clintstevens,1492400410182,13182,bits/100,,#00CCC5,RecklessRelapse,"{'88': [[0, 7]]}",8f491ca3-5889-4c5a-b0b5-5cc55a2eb299,,False,,,86268118,1492400415965,,False,,1492400424601,False,30875824,
21,#1E90FF,,False,ninjabacca,hows i going clint,clintstevens,1492400410652,13652,"subscriber/3,bits/1000",,#1E90FF,Ninjabacca,,fb07100c-86fe-4258-87b6-8b25bb7132df,,False,,,86268118,1492400424652,,True,,1492400425098,False,25439059,
22,#DA70D6,USERNOTICE,False,tuffy4255,PogChamp,,1492400411357,14357,"subscriber/6,bits/100",,#DA70D6,tuffy4255,"{'88': [[0, 7]]}",b2a9a33d-145c-4a7f-96d3-a1d09f74cfb0,tuffy4255,False,resub,7,86268118,,,True,tuffy4255\sjust\ssubscribed\swith\sTwitch\sPrime.\stuffy4255\ssubscribed\sfor\s7\smonths\sin\sa\srow!,1492400425819,False,56447760,
23,#00CC2C,,False,quacrunk,heyyyyyyyyyyyyyyyyyyyyy,clintstevens,1492400411735,14735,"subscriber/3,premium/1",,#00CC2C,quacrunk,,e995daaf-da37-4921-9e3d-d22d93b7b56b,,False,,,86268118,1492400426183,,True,,1492400426175,False,76030467,
24,,,False,quikheet,DAD,clintstevens,1492400413877,16877,,,,quikheet,,51290677-37b5-47e2-a681-a2a6af1f4900,,False,,,86268118,1492487025477,,False,,1492400428343,False,149667282,
25,#DAA520,,False,thirteenjhm13,happy easter clintoris,clintstevens,1492400414881,17881,subscriber/3,,#DAA520,ThirteenJhm13,,0b4d109f-f19d-41eb-8b66-b10db4e62ad0,,False,,,86268118,1492400427773,,True,,1492400429297,False,35950973,
26,#8A2BE2,,False,fluxayy,Clintu!! @Clintstevens,clintstevens,1492400415785,18785,,,#8A2BE2,Fluxayy,,863526db-5ac3-4926-9037-37132b62e5eb,,False,,,86268118,1492400431814,,False,,1492400430232,False,72532191,
27,#00CCC5,,False,recklessrelapse,hey Clint TehePelo,clintstevens,1492400416506,19506,bits/100,,#00CCC5,RecklessRelapse,"{'160404': [[10, 17]]}",b49bb8b8-e254-46dd-8cf7-d6ab1a5f61b9,,False,,,86268118,1492400422415,,False,,1492400430968,False,30875824,
28,#1DAFA3,,False,iansynth,HI CLINT,clintstevens,1492400416678,19678,"subscriber/6,bits/1000",,#1DAFA3,IanSynth,,7349d9e2-2961-41c5-934d-96bfa2cb9f1a,,False,,,86268118,1492400429554,,True,,1492400431129,False,7212792,
29,#FF69B4,,False,avian141,PogChamp,clintstevens,1492400417356,20356,,,#FF69B4,Avian141,"{'88': [[0, 7]]}",abc8a751-6b48-419a-a6fe-a815f0c5498d,,False,,,86268118,1492400420875,,False,,1492400431818,False,30672515,
30,#00FFFF,,False,choke_me_please,DADDY <3,clintstevens,1492400417604,20604,subscriber/0,,#00FFFF,Choke_Me_Please,"{'9': [[6, 7]]}",0dc4a45d-7cad-4e73-9573-88905b77d43a,,False,,,86268118,1492400515775,,True,,1492400432011,False,130601556,
31,,,False,slashmolder,clintG,clintstevens,1492400418443,21443,"subscriber/6,bits/1000",,,Slashmolder,"{'114288': [[0, 5]]}",1055f678-64af-4ad2-8189-714a3d8b4c52,,False,,,86268118,1492400432769,,True,,1492400432887,False,7551716,
32,#000000,,False,sekretaznman,hai clint FeelsGoodMan,clintstevens,1492400418635,21635,subscriber/6,,#000000,SekretAznMan,,11e498b4-a214-4f83-bc94-475a0b204c83,,False,,,86268118,1492400433929,,True,,1492400433036,False,51855231,
